N;City;Route;Trap code;Name GPS;Date of reading;Entidad que realizo la lectura;Epoca cultivo;Red;Black;RedBlack;Pluviometric_day;Humidity;Maximum_temperature;Observaciones;crop stage
65;Cerete;ceresanpela1;23-686-41;cereSanpela1-16;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;120;413;533;;80,68181818;;Area sembrada en Maíz.;Maiz
64;Cerete;ceresanpela1;23-162-40;cereSanpela1-15;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;198;326;524;;80,68181818;;Area sembrada en Maíz.;Maiz
5;Cerete;ceresanpela2;23-162-55;cereSanpela2-5;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;58;457;515;;80,68181818;;Lote Sembrado de Maíz.;Maiz
53;Cerete;ceresanpela1;23-162-29;cereSanpela1-4;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;63;432;495;;80,68181818;;Area sembrada en Maíz.;Maiz
67;Cerete;ceresanpela1;23-686-43;cereSanpela1-18;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;46;387;433;;80,68181818;;Area sembrada en Maíz.;Maiz
8;Cerete;ceresanpela2;23-162-58;cereSanpela2-8;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;139;214;353;;80,68181818;;Lote sembrado de Maíz.;Maiz
61;Cerete;ceresanpela1;23-162-37;cereSanpela1-12;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;87;115;202;;80,68181818;;Area sembrada en Maíz.;Maiz
68;Cerete;ceresanpela1;23-686-44;cereSanpela1-19;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;73;115;188;;80,68181818;;Area sembrada en Maíz.;Maiz
190;Cerete;ceresancar;23-678-22;cereSancar-22;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;10;167;177;;80,68181818;;Lote sembrado en Maiz.;Maiz
63;Cerete;ceresanpela1;23-162-39;cereSanpela1-14;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;65;108;173;;80,68181818;;Area sembrada en Maíz.;Maiz
84;Lorica;lorica;23-417-110;lorica-10;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;75;400;475;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
56;Cerete;ceresanpela1;23-162-32;cereSanpela1-7;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;43;125;168;;80,68181818;;Area sembrada en Maíz.;Maiz
7;Cerete;ceresanpela2;23-162-57;cereSanpela2-7;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;5;161;166;;80,68181818;;Lote sembrado de Maíz.;Maiz
186;Cerete;ceresancar;23-678-19;cereSancar-19;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;7;156;163;;80,68181818;;Lote sembrado en Maíz.;Maiz
57;Cerete;ceresanpela1;23-162-33;cereSanpela1-8;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;31;93;124;;80,68181818;;area sembrada en Maíz.;Maiz
74;Cerete;ceresanpela1;23-686-50;cereSanpela1-25;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;19;85;104;;80,68181818;;Area sembrada en Maíz.;Maiz
50;Cerete;ceresanpela1;23-162-26;cereSanpela1-1;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;15;83;98;;80,68181818;;Area sembrada en Maíz.;Maiz
184;Cerete;ceresancar;23-678-17;cereSancar-17;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;4;93;97;;80,68181818;;Lote cultivado en Maíz.;Maiz
171;Cerete;ceresancar;23-162-4;cereSancar-4;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;5;67;72;;80,68181818;;Lote cultivado en Maíz.;Maiz
857;Cienaga de Oro;cienaga;23-189-162;cienaga-12;15/07/2013;ICA(Instituto Colombiano Agropecuario);veda;7;418;425;0,446666667;83,36363636;34,56;Area sembrada en Maíz.;Maiz
182;Cerete;ceresancar;23-678-15;cereSancar-15;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;44;44;;80,68181818;;Lote cultivado en Maíz.;Maiz
8473;Lorica;Loorica;23-417-355;Loorica-9;30/04/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;21;400;421;7,073333333;83,26190476;33,01333333;Trampa en buen Estado.;establecimiento de cultivo
69;Cerete;ceresanpela1;23-686-45;cereSanpela1-20;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;8;35;43;;80,68181818;;Area sembrada en Maíz.;Maiz
60;Cerete;ceresanpela1;23-686-36;cereSanpela1-11;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;39;39;;80,68181818;;Area sembrada en Maíz.;Maiz
6;Cerete;ceresanpela2;23-570-56;cereSanpela2-6;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;6;32;38;;80,68181818;;Lote sembrado de Maíz.;Maiz
55;Cerete;ceresanpela1;23-162-31;cereSanpela1-6;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;6;28;34;;80,68181818;;Area sembrada de Maíz.;Maiz
191;Cerete;ceresancar;23-678-23;cereSancar-23;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;31;31;;80,68181818;;Lote sembrado en Maíz.;Maiz
23;Cerete;ceresanpela2;23-686-70;cereSanpela2-20;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;2;28;30;;80,68181818;;Lote sembrado en Maíz.;Maiz
637;Monteria;monteria;23-001-183;monteria-15;28/06/2013;ICA(Instituto Colombiano Agropecuario);veda;72;324;396;4,593333333;;33,3;Area sembrada en Maíz.;Maiz
9;Cerete;ceresanpela2;23-162-59;cereSanpela2-9;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;12;16;28;;80,68181818;;Lote Sembrado de Maíz.;Maiz
188;Cerete;ceresancar;23-678-21;cereSancar-21;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;3;24;27;;80,68181818;;Lote cultivado en Maíz.;Maiz
41;Cotorra;cotorra;23-686-92;cotorra-17;14/05/2013;ICA(Instituto Colombiano Agropecuario);veda;12;365;377;;;;Lote cultivado en Maíz.;Maiz
9185;Lorica;Loorica;23-300-340;Loorica-17;30/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;6;364;370;6,546666667;82,26666667;33,50666667;Trampa en buen Estado.;establecimiento de cultivo
96;Lorica;lorica;23-417-122;lorica-22;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;67;300;367;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
636;Monteria;monteria;23-001-182;monteria-14;28/06/2013;ICA(Instituto Colombiano Agropecuario);veda;192;174;366;4,593333333;;33,3;Area sembrada en Maíz.;Maiz
846;Cienaga de Oro;cienaga;23-162-151;cienaga-1;15/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;363;363;0,446666667;83,36363636;34,56;Area sembrada en Maíz.;Maiz
189;Cerete;ceresancar;23-678-21;cereSancar-21;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;3;24;27;;80,68181818;;Lote sembrado en Maíz.;Maiz
18;Cerete;ceresanpela2;23-686-65;cereSanpela2-15;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;22;22;;80,68181818;;Lote sembrado de Maíz.;Maiz
9008;Lorica;Loorica;23-300-347;Loorica-23;15/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;7;344;351;7,613333333;83,82926829;32,5;Trampa en buen Estado.;establecimiento de cultivo
