N;City;Route;Trap code;Name GPS;Date of reading;Entidad que realizo la lectura;Epoca cultivo;Red;Black;RedBlack;Pluviometric_day;Humidity;Maximum_temperature;Observaciones;crop stage 
4806;Valencia;valencia;23-855-128;valencia-3;13/06/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;2;57;59;5,133333333;;;Trampa en buen Estado.;establecimiento de cultivo
7384;Valencia;valencia;23-855-135;valencia-10;30/01/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;59;59;0;;;Trampa en buen Estado.;establecimiento de cultivo
7690;Cotorra;Cotorrra;23-300-308;Cotorrra-1;13/02/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;23;36;59;;;;Trampa en buen Estado.;establecimiento de cultivo
940;Cerete;ceresanpela1;23-686-38;cereSanpela1-13;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;5;5;3,275;78,71111111;;Hortaliza y maiz;Maiz
9024;Valencia;Valeencia;23-855-376;Valeencia-16;15/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;59;59;4,04;;;Trampa en buen Estado.;establecimiento de cultivo
9109;Cotorra;Cotorrra;23-300-328;Cotorrra-5;15/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;2;57;59;;;;Trampa en buen Estado.;establecimiento de cultivo
927;Cerete;ceresanpela1;23-162-26;cereSanpela1-1;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;sembrado en maiz;Maiz
931;Cerete;ceresanpela1;23-162-30;cereSanpela1-5;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;lote con maiz;Maiz
932;Cerete;ceresanpela1;23-162-31;cereSanpela1-6;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;Sembrado en maiz;Maiz
3911;Monteria;monteria;23-001-183;monteria-15;28/03/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;26;32;58;;;35,575;Trampa en buen Estado.;establecimiento de cultivo
933;Cerete;ceresanpela1;23-162-32;cereSanpela1-7;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;Sembrado en Maiz;Maiz
934;Cerete;ceresanpela1;23-162-33;cereSanpela1-8;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;sembrado en maiz;Maiz
936;Cerete;ceresanpela1;23-162-34;cereSanpela1-9;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;sembrado en maiz;Maiz
5981;Valencia;valencia;23-855-128;valencia-3;26/09/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;2;56;58;5,653333333;;;Trampa en buen Estado.;establecimiento de cultivo
7385;Valencia;valencia;23-855-136;valencia-11;30/01/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;58;58;0;;;Trampa en buen Estado.;establecimiento de cultivo
937;Cerete;ceresanpela1;23-686-35;cereSanpela1-10;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;sembrado en maiz;Maiz
938;Cerete;ceresanpela1;23-686-36;cereSanpela1-11;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;sembrado en maiz;Maiz
9505;Cotorra;Cotorrra;23-300-331;Cotorrra-8;13/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;58;58;;;;Trampa en buen Estado.;establecimiento de cultivo
9750;Cotorra;Cotorrra;23-686-309;Cotorrra-10;27/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;58;58;;;;Trampa en buen estado.;establecimiento de cultivo
10224;Monteria;Monteriia;23-001-364;Monteriia-2;18/08/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;16;42;58;;;34,68;Trampa en buen estado.;establecimiento de cultivo
939;Cerete;ceresanpela1;23-162-37;cereSanpela1-12;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;maiz -yuca;Maiz
11095;Cotorra;Cotorrra;23-300-315;Cotorrra-16;30/10/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;58;58;;;;Trampa en buen estado.;establecimiento de cultivo
90;Lorica;lorica;23-417-116;lorica-16;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;7;50;57;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
98;Lorica;lorica;23-417-124;lorica-24;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;2;55;57;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
942;Cerete;ceresanpela1;23-162-40;cereSanpela1-15;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
602;Lorica;lorica;23-417-122;lorica-22;28/06/2013;ICA(Instituto Colombiano Agropecuario);veda;0;57;57;0,246666667;82,11363636;33,47142857;Lote sembrado en Maíz.;
808;Lorica;lorica;23-182-113;lorica-13;15/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;57;57;6,193333333;79,59090909;34,61333333;Area sembrada en Maíz.;Maiz
1417;Cienaga de Oro;cienaga;23-189-162;cienaga-12;29/05/2013;ICA(Instituto Colombiano Agropecuario);veda;2;55;57;2,5125;89,35416667;32,05625;Lote sembrado en Maíz.;establecimiento de cultivo
1961;Cotorra;cotorra;23-300-77;cotorra-2;15/10/2013;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;57;57;;;;Trampa en buen estado.;establecimiento de cultivo
3510;Valencia;valencia;23-855-130;valencia-5;28/02/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;3;54;57;2,853846154;;;Trampa en buen Estado.;establecimiento de cultivo
944;Cerete;ceresanpela1;23-686-42;cereSanpela1-17;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
945;Cerete;ceresanpela1;23-686-43;cereSanpela1-18;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
4503;Lorica;lorica;23-417-122;lorica-22;15/05/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;7;50;57;5,625;81,4516129;32,16363636;Trampa en buen Estado.;establecimiento de cultivo
946;Cerete;ceresanpela1;23-686-44;cereSanpela1-19;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
947;Cerete;ceresanpela1;23-686-45;cereSanpela1-20;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz hortaliza;Maiz
9429;Valencia;Valeencia;23-855-388;Valeencia-6;13/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;57;57;6,906666667;;;Trampa en buen Estado.;
949;Cerete;ceresanpela1;23-686-47;cereSanpela1-22;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
10345;Cotorra;Cotorrra;23-300-317;Cotorrra-18;31/08/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;57;57;;;;Trampa en buen estado.;establecimiento de cultivo
950;Cerete;ceresanpela1;23-686-48;cereSanpela1-23;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;maiz;Maiz
272;Cotorra;cotorra;23-300-79;cotorra-4;29/05/2013;ICA(Instituto Colombiano Agropecuario);veda;0;56;56;;;;Lote sembrado en Maíz.;Maiz
407;Cienaga de Oro;cienaga;23-189-172;cienaga-22;18/06/2013;ICA(Instituto Colombiano Agropecuario);veda;4;52;56;8,56;84,75555556;33,79333333;Lote sembrado en Maíz.;Maiz
951;Cerete;ceresanpela1;23-686-49;cereSanpela1-24;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;maiz;Maiz
952;Cerete;ceresanpela1;23-686-49;cereSanpela1-24;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
1877;Lorica;lorica;23-417-111;lorica-11;15/10/2013;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;8;48;56;2,273333333;81,6;31,37142857;Trampa en buen estado.;establecimiento de cultivo
953;Cerete;ceresanpela1;23-686-50;cereSanpela1-25;29/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;con maiz;Maiz
877;Cerete;ceresancar;23-189-7;cereSancar-7;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;11;318;329;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
871;Cerete;ceresancar;23-162-1;cereSancar-1;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;5;183;188;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
872;Cerete;ceresancar;23-162-2;cereSancar-2;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;2;105;107;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
876;Cerete;ceresancar;23-162-6;cereSancar-6;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;3;84;87;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
1132;Cerete;ceresancar;23-678-21;cereSancar-21;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;5;55;60;3,275;78,71111111;;CON MAIZ;Maiz
5441;Cotorra;cotorra;23-300-81;cotorra-6;15/08/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;56;56;;;;Trampa en buen Estado.;establecimiento de cultivo
875;Cerete;ceresancar;23-162-5;cereSancar-5;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;3;56;59;3,275;78,71111111;;Area sembrda en Maíz.;Maiz
1125;Cerete;ceresancar;23-678-14;cereSancar-14;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;6;37;43;3,275;78,71111111;;CON MAIZ;Maiz
1127;Cerete;ceresancar;23-678-16;cereSancar-16;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;38;38;3,275;78,71111111;;CON MAIZ;Maiz
8538;Cotorra;Cotorrra;23-300-313;Cotorrra-14;30/04/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;56;56;;;;Trampa en buen Estado.;establecimiento de cultivo
874;Cerete;ceresancar;23-162-4;cereSancar-4;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;31;31;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
1121;Cerete;ceresancar;23-678-10;cereSancar-10;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;25;25;3,275;78,71111111;;CON MAIZ;Maiz
873;Cerete;ceresancar;23-162-3;cereSancar-3;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;19;19;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
495;Lorica;lorica;23-417-118;lorica-18;14/06/2013;ICA(Instituto Colombiano Agropecuario);veda;5;50;55;4,98;80,75609756;33,04;Area sembrada en Maíz.;Maiz
557;Cotorra;cotorra;23-300-77;cotorra-2;26/06/2013;ICA(Instituto Colombiano Agropecuario);veda;4;51;55;;;;Area sembrada en Maíz.;Maiz
787;Cotorra;cotorra;23-300-90;cotorra-15;15/07/2013;ICA(Instituto Colombiano Agropecuario);veda;3;52;55;;;;Area sembrada en Maíz.;Maiz
821;Valencia;valencia;23-855-126;valencia-1;15/07/2013;ICA(Instituto Colombiano Agropecuario);veda;4;51;55;7,26;;;Area sembrada en Maíz.;Maiz
1015;Monteria;monteria;23-001-179;monteria-11;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;5;50;55;2,18;;33,12307692;CON MAIZ;Maiz
1131;Cerete;ceresancar;23-678-20;cereSancar-20;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;3;12;15;3,275;78,71111111;;CONMAIZ;Maiz
1135;Cerete;ceresancar;23-678-24;cereSancar-24;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;1;14;15;3,275;78,71111111;;CON MAIZ;Maiz
4615;Cotorra;cotorra;23-300-84;cotorra-9;28/05/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;1;54;55;;;;Trampa en buen Estado.;establecimiento de cultivo
1130;Cerete;ceresancar;23-678-19;cereSancar-19;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;13;13;3,275;78,71111111;;CON MAIZ;Maiz
1136;Cerete;ceresancar;23-162-25;cereSancar-25;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;13;13;3,275;78,71111111;;CON MAIZ;Maiz
6360;Valencia;valencia;23-855-133;valencia-8;28/10/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;55;55;3,49375;;;Trampa en buen Estado.;establecimiento de cultivo
7708;Cotorra;Cotorrra;23-300-327;Cotorrra-4;13/02/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;4;51;55;;;;Trampa en buen Estado.;establecimiento de cultivo
9603;Lorica;Loorica;23-300-347;Loorica-23;21/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;1;54;55;8,4625;78,87234043;32,5875;Trampa en buen Estado.;establecimiento de cultivo
1120;Cerete;ceresancar;23-678-9;cereSancar-9;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;11;11;3,275;78,71111111;;CON MAIZ;Maiz
1128;Cerete;ceresancar;23-678-17;cereSancar-17;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;3,275;78,71111111;;CON MAIZ;Maiz
1122;Cerete;ceresancar;23-678-11;cereSancar-11;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;8;8;3,275;78,71111111;;CON MAIZ;Maiz
1139;Lorica;lorica;23-417-103;lorica-3;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;54;54;1,226666667;82,53488372;32,41333333;CON MAIZ;Maiz
1129;Cerete;ceresancar;23-678-18;cereSancar-18;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;5;5;3,275;78,71111111;;CON MAIZ;Maiz
1618;Cotorra;cotorra;23-300-94;cotorra-19;18/09/2013;ICA(Instituto Colombiano Agropecuario);veda;0;54;54;;;;CON MAIZ;establecimiento de cultivo
1123;Cerete;ceresancar;23-162-12;cereSancar-12;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;4;4;3,275;78,71111111;;CON MAIZ;Maiz
4443;Valencia;valencia;23-855-131;valencia-6;15/05/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;2;52;54;0,08;;;Trampa en buen Estado.;establecimiento de cultivo
4626;Cotorra;cotorra;23-300-95;cotorra-20;28/05/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;2;52;54;;;;Trampa en buen Estado.;establecimiento de cultivo
1134;Cerete;ceresancar;23-678-23;cereSancar-23;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;2;2;3,275;78,71111111;;CON MAIZ;Maiz
1124;Cerete;ceresancar;23-678-13;cereSancar-13;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;1;1;3,275;78,71111111;;CON MAIZ;Maiz
1126;Cerete;ceresancar;23-678-15;cereSancar-15;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;1;1;3,275;78,71111111;;MAIZ YUCA;Maiz
878;Cerete;ceresancar;23-189-8;cereSancar-8;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;Area sembrada en Maíz.;Maiz
5747;Lorica;lorica;23-417-122;lorica-22;15/09/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;4;50;54;1,286666667;81,42857143;32,85333333;Trampa en buen Estado.;establecimiento de cultivo
5750;Lorica;lorica;23-417-125;lorica-25;15/09/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;4;50;54;1,286666667;81,42857143;32,85333333;Trampa en buen Estado.;establecimiento de cultivo
6434;Lorica;lorica;23-417-104;lorica-4;28/10/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;3;51;54;5,75625;83,78723404;32,0875;Trampa en buen Estado.;establecimiento de cultivo
1133;Cerete;ceresancar;23-678-22;cereSancar-22;30/07/2013;ICA(Instituto Colombiano Agropecuario);veda;0;0;0;3,275;78,71111111;;CON MAIZ;Maiz
8822;Valencia;Valeencia;23-855-380;Valeencia-20;29/05/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;54;54;4,38125;;;Trampa en buen Estado.;establecimiento de cultivo
1218;Cerete;ceresanpela2;23-162-57;cereSanpela2-7;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;5;145;150;5,453333333;79,6;;con maiz;Maiz
10868;Cotorra;Cotorrra;23-300-315;Cotorrra-16;15/10/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;54;54;;;;Trampa en buen estado.;establecimiento de cultivo
327;Monteria;monteria;23-001-186;monteria-18;30/05/2013;ICA(Instituto Colombiano Agropecuario);veda;6;47;53;;;;Lote sembrado en Maíz.;Maiz
561;Cotorra;cotorra;23-300-81;cotorra-6;26/06/2013;ICA(Instituto Colombiano Agropecuario);veda;0;53;53;;;;Area sembrada en Maíz.;Maiz
563;Cotorra;cotorra;23-300-83;cotorra-8;26/06/2013;ICA(Instituto Colombiano Agropecuario);veda;0;53;53;;;;Area sembrada en Maíz.;Maiz
1965;Cotorra;cotorra;23-300-81;cotorra-6;15/10/2013;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;4;49;53;;;;Trampa en buen estado.;establecimiento de cultivo
1030;Cerete;ceresanpela2;23-162-58;cereSanpela2-8;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;42;42;5,453333333;79,6;;CON MAIZ;Maiz
2288;Cotorra;cotorra;23-300-85;cotorra-10;15/11/2013;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;53;53;;;;Trampa en buen Estado.;establecimiento de cultivo
4831;Cotorra;cotorra;23-300-78;cotorra-3;13/06/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;1;52;53;;;;Trampa en buen Estado.;establecimiento de cultivo
1219;Cerete;ceresanpela2;23-162-58;cereSanpela2-8;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;42;42;5,453333333;79,6;;con maiz;Maiz
1037;Cerete;ceresanpela2;23-686-65;cereSanpela2-15;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;2;32;34;5,453333333;79,6;;CON MAIZ;Maiz
1227;Cerete;ceresanpela2;23-686-66;cereSanpela2-16;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;2;32;34;5,453333333;79,6;;con maiz;Maiz
7697;Cotorra;Cotorrra;23-300-315;Cotorrra-16;13/02/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;13;40;53;;;;Trampa en buen Estado.;establecimiento de cultivo
1029;Cerete;ceresanpela2;23-162-57;cereSanpela2-7;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;2;22;24;5,453333333;79,6;;CON MAIZ;Maiz
7845;Cotorra;Cotorrra;23-300-327;Cotorrra-4;27/02/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;11;42;53;;;;Trampa en buen Estado.;establecimiento de cultivo
1032;Cerete;ceresanpela2;23-686-60;cereSanpela2-10;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;24;24;5,453333333;79,6;;CONMAIZ;Maiz
1221;Cerete;ceresanpela2;23-686-60;cereSanpela2-10;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;24;24;5,453333333;79,6;;con maiz;Maiz
1034;Cerete;ceresanpela2;23-686-62;cereSanpela2-12;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;16;16;5,453333333;79,6;;CON MAIZ;Maiz
1223;Cerete;ceresanpela2;23-686-62;cereSanpela2-12;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;16;16;5,453333333;79,6;;con maiz;Maiz
1043;Cerete;ceresanpela2;23-686-71;cereSanpela2-21;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;10;10;5,453333333;79,6;;CON MAIZ;Maiz
12497;Lorica;Loorica;23-417-344;Loorica-20;29/02/2016;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;4;49;53;0;86,56097561;32,71666667;Trampa en buen estado.;establecimiento de cultivo
79;Lorica;lorica;23-417-105;lorica-5;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;7;45;52;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
82;Lorica;lorica;23-182-108;lorica-8;15/05/2013;ICA(Instituto Colombiano Agropecuario);veda;2;50;52;3,04;80,02857143;33,48;Lote sembrado en Maíz.;Maiz
526;Cienaga de Oro;cienaga;23-189-174;cienaga-24;25/06/2013;ICA(Instituto Colombiano Agropecuario);veda;0;52;52;4,12;85,22727273;33,47333333;Area sembrada en Maíz.;Maiz
1232;Cerete;ceresanpela2;23-686-71;cereSanpela2-21;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;10;10;5,453333333;79,6;;con maiz;Maiz
1031;Cerete;ceresanpela2;23-162-59;cereSanpela2-9;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;CON MAIZ;Maiz
5742;Lorica;lorica;23-182-117;lorica-17;15/09/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;5;47;52;1,286666667;81,42857143;32,85333333;Trampa en buen Estado.;establecimiento de cultivo
6461;Monteria;monteria;23-001-192;monteria-6;28/10/2014;ICA(Instituto Colombiano Agropecuario);formación de botones;20;32;52;;;32,3125;Trampa en buen Estado.;establecimiento de cultivo
1038;Cerete;ceresanpela2;23-686-66;cereSanpela2-16;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;CON MAIZ;Maiz
7999;Monteria;Monteriia;23-001-363;Monteriia-19;13/03/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;;;37,25333333;Trampa en buen Estado.;establecimiento de cultivo
8108;Lorica;Loorica;23-417-335;Loorica-11;27/03/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;7;45;52;0;82,5;33,1;Trampa en buen Estado.;establecimiento de cultivo
8322;Monteria;Monteriia;23-001-363;Monteriia-19;15/04/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;5;47;52;0,333333333;;35,44615385;Trampa en buen Estado.;establecimiento de cultivo
8469;Lorica;Loorica;23-417-351;Loorica-4;30/04/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;7,073333333;83,26190476;33,01333333;Trampa en buen Estado.;establecimiento de cultivo
8479;Lorica;Loorica;23-417-339;Loorica-16;30/04/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;2;50;52;7,073333333;83,26190476;33,01333333;Trampa en buen Estado.;establecimiento de cultivo
1042;Cerete;ceresanpela2;23-686-70;cereSanpela2-20;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;con maiz;Maiz
8688;Cotorra;Cotorrra;23-686-320;Cotorrra-20;15/05/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;7;45;52;;;;Trampa en buen Estado.;establecimiento de cultivo
1046;Cerete;ceresanpela2;23-686-74;cereSanpela2-24;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;CON MAIZ;Maiz
9192;Lorica;Loorica;23-300-348;Loorica-24;30/06/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;6,546666667;82,26666667;33,50666667;Trampa en buen Estado.;establecimiento de cultivo
1220;Cerete;ceresanpela2;23-162-59;cereSanpela2-9;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;con maiz;Maiz
9504;Cotorra;Cotorrra;23-300-330;Cotorrra-7;13/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;;;;Trampa en buen Estado.;establecimiento de cultivo
9607;Cotorra;Cotorrra;23-300-319;Cotorrra-2;21/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;;;;Trampa en buen Estado.;establecimiento de cultivo
1228;Cerete;ceresanpela2;23-300-67;cereSanpela2-17;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;con maiz;Maiz
9742;Cotorra;Cotorrra;23-300-319;Cotorrra-2;27/07/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;;;;Trampa en buen estado.;establecimiento de cultivo
1231;Cerete;ceresanpela2;23-686-70;cereSanpela2-20;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;con maiz;Maiz
1235;Cerete;ceresanpela2;23-686-74;cereSanpela2-24;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;9;9;5,453333333;79,6;;con maiz;Maiz
1215;Cerete;ceresanpela2;23-162-54;cereSanpela2-4;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;7;7;5,453333333;79,6;;con maiz;Maiz
10337;Cotorra;Cotorrra;23-686-309;Cotorrra-10;31/08/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;;;;Trampa en buen estado.;establecimiento de cultivo
1040;Cerete;ceresanpela2;23-686-68;cereSanpela2-18;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;6;6;5,453333333;79,6;;con maiz;Maiz
11081;Cotorra;Cotorrra;23-300-319;Cotorrra-2;30/10/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;52;52;;;;Trampa en buen estado.;establecimiento de cultivo
1213;Cerete;ceresanpela2;23-162-52;cereSanpela2-2;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;6;6;5,453333333;79,6;;con maiz;Maiz
1443;Monteria;monteria;23-001-181;monteria-13;13/09/2013;ICA(Instituto Colombiano Agropecuario);veda;4;47;51;;;32,43076923;Area sembrada en Maíz.;establecimiento de cultivo
1229;Cerete;ceresanpela2;23-686-68;cereSanpela2-18;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;6;6;5,453333333;79,6;;con maiz;Maiz
4320;Cotorra;cotorra;23-300-85;cotorra-10;28/04/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;15;36;51;;;;Trampa en buen Estado.;establecimiento de cultivo
5698;Cienaga de Oro;cienaga;23-189-174;cienaga-24;28/08/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;3;48;51;11,8875;83,35416667;32,4625;Trampa en buen Estado.;establecimiento de cultivo
5811;Cotorra;cotorra;23-300-89;cotorra-14;15/09/2014;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;0;51;51;;;;Trampa en buen Estado.;establecimiento de cultivo
1212;Cerete;ceresanpela2;23-162-51;cereSanpela2-1;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;5;5;5,453333333;79,6;;con maiz;Maiz
1041;Cerete;ceresanpela2;23-686-69;cereSanpela2-19;15/08/2013;ICA(Instituto Colombiano Agropecuario);veda;0;4;4;5,453333333;79,6;;con maiz;Maiz
7600;Lorica;Loorica;23-417-352;Loorica-6;13/02/2015;ICA(Instituto Colombiano Agropecuario);establecimiento de cultivo;6;45;51;0;82,51111111;32,74666667;Trampa en buen Estado.;establecimiento de cultivo
